graph_filename,algorithm_name,num_vertices,numEdges,color_count,duration_ns,duration_sec
myciel3.col.txt,chromaticNumber,11.0,20.0,4.0,50849.307692307695,5.0849307692307696e-05
myciel4.col.txt,chromaticNumber,23.0,71.0,5.0,666137138.2307693,0.6661371382307693
queen5_5.col.txt,chromaticNumber,25.0,320.0,5.0,59948.53846153846,5.994853846153847e-05
queen6_6.col.txt,chromaticNumber,36.0,580.0,7.0,324334521.0769231,0.32433452107692307
queen7_7.col.txt,chromaticNumber,49.0,952.0,7.0,8013429.384615385,0.008013429384615385
anna.col.txt,dsatur,138.0,986.0,11.0,2443783.5384615385,0.002443783538461539
david.col.txt,dsatur,87.0,812.0,11.0,1820318.3846153845,0.0018203183846153847
fpsol2.i.1.col,dsatur,496.0,11654.0,65.0,32997941.692307692,0.03299794169230769
fpsol2.i.2.col,dsatur,451.0,8691.0,30.0,23704606.769230768,0.023704606769230772
fpsol2.i.3.col,dsatur,425.0,8688.0,30.0,23534720.307692308,0.023534720307692308
games120.col.txt,dsatur,120.0,1276.0,9.0,2747777.769230769,0.0027477777692307692
homer.col.txt,dsatur,561.0,3258.0,13.0,9335945.923076924,0.009335945923076924
huck.col.txt,dsatur,74.0,602.0,11.0,1307069.8461538462,0.001307069846153846
inithx.i.1.col,dsatur,864.0,18707.0,54.0,55911810.0,0.055911810000000006
inithx.i.2.col,dsatur,645.0,13979.0,31.0,38643569.538461536,0.038643569538461535
inithx.i.3.col,dsatur,621.0,13969.0,31.0,38379458.76923077,0.038379458769230775
jean.col.txt,dsatur,80.0,508.0,10.0,1174116.1538461538,0.001174116153846154
latin_square_10.col.txt,dsatur,900.0,307350.0,130.0,824501958.9230769,0.824501958923077
le450_15b.col.txt,dsatur,450.0,8169.0,17.0,20967758.846153848,0.020967758846153848
le450_15c.col.txt,dsatur,450.0,16680.0,23.0,41392282.84615385,0.04139228284615385
le450_15d.col.txt,dsatur,450.0,16750.0,24.0,41469327.307692304,0.04146932730769231
le450_25a.col.txt,dsatur,450.0,8260.0,25.0,21177257.46153846,0.02117725746153846
le450_25b.col.txt,dsatur,450.0,8263.0,25.0,20989519.384615384,0.020989519384615386
le450_25c.col.txt,dsatur,450.0,17343.0,28.0,42572380.461538464,0.04257238046153847
le450_25d.col.txt,dsatur,450.0,17425.0,29.0,42580849.538461536,0.042580849538461536
le450_5a.col.txt,dsatur,450.0,5714.0,10.0,15484942.846153846,0.015484942846153846
le450_5b.col.txt,dsatur,450.0,5734.0,10.0,15480891.76923077,0.01548089176923077
le450_5c.col.txt,dsatur,450.0,9803.0,7.0,25503468.307692308,0.02550346830769231
le450_5d.col.txt,dsatur,450.0,9757.0,12.0,25453932.307692308,0.02545393230769231
miles1000.col.txt,dsatur,128.0,6432.0,42.0,13182760.076923076,0.013182760076923077
miles1500.col.txt,dsatur,128.0,10396.0,73.0,21801886.692307692,0.021801886692307697
miles250.col.txt,dsatur,128.0,774.0,8.0,1714636.3846153845,0.0017146363846153847
miles500.col.txt,dsatur,128.0,2340.0,20.0,4707951.538461538,0.004707951538461539
miles750.col.txt,dsatur,128.0,4226.0,31.0,8431437.384615384,0.008431437384615385
mulsol.i.1.col,dsatur,197.0,3925.0,49.0,9597864.76923077,0.00959786476923077
mulsol.i.2.col,dsatur,188.0,3885.0,31.0,9269887.538461538,0.00926988753846154
mulsol.i.3.col,dsatur,184.0,3916.0,31.0,9282610.0,0.00928261
mulsol.i.4.col,dsatur,185.0,3946.0,31.0,9349111.538461538,0.00934911153846154
mulsol.i.5.col,dsatur,186.0,3973.0,31.0,9433504.692307692,0.009433504692307693
myciel3.col.txt,dsatur,11.0,20.0,4.0,66097.23076923077,6.609723076923078e-05
myciel4.col.txt,dsatur,23.0,71.0,5.0,178407.61538461538,0.00017840761538461542
myciel5.col.txt,dsatur,47.0,236.0,6.0,548378.2307692308,0.0005483782307692307
myciel6.col.txt,dsatur,95.0,755.0,7.0,1758976.076923077,0.001758976076923077
myciel7.col.txt,dsatur,191.0,2360.0,8.0,5702370.230769231,0.005702370230769231
queen10_10.col.txt,dsatur,100.0,2940.0,14.0,6042814.0,0.006042814
queen11_11.col.txt,dsatur,121.0,3960.0,14.0,8356240.0,0.008356240000000001
queen12_12.col.txt,dsatur,144.0,5192.0,16.0,11128386.923076924,0.011128386923076923
queen13_13.col.txt,dsatur,169.0,6656.0,17.0,14523516.615384616,0.014523516615384617
queen14_14.col.txt,dsatur,196.0,8372.0,19.0,18524650.615384616,0.018524650615384615
queen15_15.col.txt,dsatur,225.0,10360.0,20.0,23313298.0,0.023313298000000003
queen16_16.col.txt,dsatur,256.0,12640.0,21.0,28706502.384615384,0.028706502384615386
queen5_5.col.txt,dsatur,25.0,320.0,5.0,589640.4615384615,0.0005896404615384615
queen6_6.col.txt,dsatur,36.0,580.0,9.0,1102291.923076923,0.001102291923076923
queen7_7.col.txt,dsatur,49.0,952.0,10.0,1816432.8461538462,0.0018164328461538462
queen8_12.col.txt,dsatur,96.0,2736.0,14.0,5583722.461538462,0.005583722461538461
queen8_8.col.txt,dsatur,64.0,1456.0,13.0,2917613.230769231,0.0029176132307692313
queen9_9.col.txt,dsatur,81.0,2112.0,12.0,4244742.307692308,0.004244742307692308
school1.col.txt,dsatur,385.0,19095.0,17.0,45519077.307692304,0.04551907730769231
school1_nsh.col.txt,dsatur,352.0,14612.0,28.0,34274862.307692304,0.03427486230769231
zeroin.i.1.col,dsatur,211.0,4100.0,49.0,10537540.692307692,0.010537540692307694
zeroin.i.2.col,dsatur,211.0,3541.0,30.0,8691846.384615384,0.008691846384615386
zeroin.i.3.col,dsatur,206.0,3540.0,30.0,8616253.461538462,0.008616253461538463
anna.col.txt,first_fit,138.0,986.0,12.0,138714.07692307694,0.00013871407692307694
david.col.txt,first_fit,87.0,812.0,12.0,111473.61538461539,0.0001114736153846154
fpsol2.i.1.col,first_fit,496.0,11654.0,65.0,1578698.4615384615,0.0015786984615384617
fpsol2.i.2.col,first_fit,451.0,8691.0,30.0,1211260.0,0.00121126
fpsol2.i.3.col,first_fit,425.0,8688.0,30.0,1228040.7692307692,0.0012280407692307693
games120.col.txt,first_fit,120.0,1276.0,9.0,179992.0,0.00017999200000000002
homer.col.txt,first_fit,561.0,3258.0,15.0,465574.6923076923,0.0004655746923076923
huck.col.txt,first_fit,74.0,602.0,11.0,86509.30769230769,8.65093076923077e-05
inithx.i.1.col,first_fit,864.0,18707.0,54.0,2553361.769230769,0.0025533617692307694
inithx.i.2.col,first_fit,645.0,13979.0,31.0,1939732.4615384615,0.0019397324615384617
inithx.i.3.col,first_fit,621.0,13969.0,31.0,1935247.1538461538,0.001935247153846154
jean.col.txt,first_fit,80.0,508.0,10.0,76066.61538461539,7.606661538461539e-05
latin_square_10.col.txt,first_fit,900.0,307350.0,213.0,36444369.615384616,0.036444369615384616
le450_15b.col.txt,first_fit,450.0,8169.0,22.0,1072569.7692307692,0.0010725697692307694
le450_15c.col.txt,first_fit,450.0,16680.0,30.0,2079230.2307692308,0.002079230230769231
le450_15d.col.txt,first_fit,450.0,16750.0,31.0,2097744.153846154,0.002097744153846154
le450_25a.col.txt,first_fit,450.0,8260.0,28.0,1100807.923076923,0.0011008079230769231
le450_25b.col.txt,first_fit,450.0,8263.0,27.0,1099130.4615384615,0.0010991304615384616
le450_25c.col.txt,first_fit,450.0,17343.0,37.0,2158602.153846154,0.002158602153846154
le450_25d.col.txt,first_fit,450.0,17425.0,35.0,2173637.076923077,0.0021736370769230772
le450_5a.col.txt,first_fit,450.0,5714.0,14.0,776342.9230769231,0.0007763429230769231
le450_5b.col.txt,first_fit,450.0,5734.0,13.0,775410.3076923077,0.0007754103076923076
le450_5c.col.txt,first_fit,450.0,9803.0,17.0,1246358.8461538462,0.0012463588461538464
le450_5d.col.txt,first_fit,450.0,9757.0,18.0,1248434.3846153845,0.0012484343846153846
miles1000.col.txt,first_fit,128.0,6432.0,44.0,798135.8461538461,0.0007981358461538463
miles1500.col.txt,first_fit,128.0,10396.0,76.0,1292083.8461538462,0.0012920838461538463
miles250.col.txt,first_fit,128.0,774.0,9.0,117337.30769230769,0.00011733730769230771
miles500.col.txt,first_fit,128.0,2340.0,22.0,308894.6923076923,0.00030889469230769233
miles750.col.txt,first_fit,128.0,4226.0,34.0,546482.8461538461,0.0005464828461538463
mulsol.i.1.col,first_fit,197.0,3925.0,49.0,547164.0,0.000547164
mulsol.i.2.col,first_fit,188.0,3885.0,31.0,538213.1538461539,0.0005382131538461539
mulsol.i.3.col,first_fit,184.0,3916.0,31.0,551905.8461538461,0.0005519058461538462
mulsol.i.4.col,first_fit,185.0,3946.0,31.0,552614.8461538461,0.0005526148461538462
mulsol.i.5.col,first_fit,186.0,3973.0,31.0,554789.0,0.0005547890000000001
myciel3.col.txt,first_fit,11.0,20.0,4.0,5769.923076923077,5.769923076923077e-06
myciel4.col.txt,first_fit,23.0,71.0,5.0,12627.384615384615,1.2627384615384617e-05
myciel5.col.txt,first_fit,47.0,236.0,6.0,34821.38461538462,3.4821384615384616e-05
myciel6.col.txt,first_fit,95.0,755.0,7.0,100843.76923076923,0.00010084376923076925
myciel7.col.txt,first_fit,191.0,2360.0,8.0,301158.6153846154,0.00030115861538461544
queen10_10.col.txt,first_fit,100.0,2940.0,16.0,369768.6923076923,0.0003697686923076924
queen11_11.col.txt,first_fit,121.0,3960.0,17.0,496256.0,0.000496256
queen12_12.col.txt,first_fit,144.0,5192.0,20.0,644799.0769230769,0.000644799076923077
queen13_13.col.txt,first_fit,169.0,6656.0,21.0,827616.6153846154,0.0008276166153846153
queen14_14.col.txt,first_fit,196.0,8372.0,23.0,1055328.3846153845,0.0010553283846153846
queen15_15.col.txt,first_fit,225.0,10360.0,25.0,1278828.923076923,0.0012788289230769231
queen16_16.col.txt,first_fit,256.0,12640.0,25.0,1548858.5384615385,0.0015488585384615386
queen5_5.col.txt,first_fit,25.0,320.0,8.0,42926.846153846156,4.292684615384616e-05
queen6_6.col.txt,first_fit,36.0,580.0,11.0,78269.07692307692,7.826907692307694e-05
queen7_7.col.txt,first_fit,49.0,952.0,10.0,124131.38461538461,0.00012413138461538463
queen8_12.col.txt,first_fit,96.0,2736.0,15.0,346387.3846153846,0.00034638738461538466
queen8_8.col.txt,first_fit,64.0,1456.0,13.0,187413.0,0.00018741300000000002
queen9_9.col.txt,first_fit,81.0,2112.0,16.0,273512.1538461539,0.00027351215384615387
school1.col.txt,first_fit,385.0,19095.0,42.0,2349700.4615384615,0.0023497004615384617
school1_nsh.col.txt,first_fit,352.0,14612.0,39.0,1820985.0,0.0018209850000000002
zeroin.i.1.col,first_fit,211.0,4100.0,49.0,565936.9230769231,0.0005659369230769231
zeroin.i.2.col,first_fit,211.0,3541.0,30.0,502276.76923076925,0.0005022767692307692
zeroin.i.3.col,first_fit,206.0,3540.0,30.0,502676.07692307694,0.0005026760769230769
